State or territory,2010-2012,2019-2021,2020-2022
NSW,79.9,81.4,81.3
Vic,80.5,81.7,81.6
Qld,79.5,80.9,80.7
SA,79.8,81,81
WA,80.1,81.7,81.7
Tas,78.7,80.3,80.3
NT,74.7,76.3,76.2
ACT,81.2,82.7,82.2
